item1,item2,pathtoitem1,pathtoitem2
Sindoor,IS 14649 : 1999,shoot-em-standards/assets/product_86.png,shoot-em-standards/assets/product_86_standard.png
Kajal,IS 15154 : 2002,shoot-em-standards/assets/product_87.png,shoot-em-standards/assets/product_87_standard.png
Sticker Bindi,IS 17649 : 2021,shoot-em-standards/assets/product_88.png,shoot-em-standards/assets/product_88_standard.png
Shaving Soap,IS 5784 : 2001,shoot-em-standards/assets/product_89.png,shoot-em-standards/assets/product_89_standard.png
Bathing Bar,IS 13498 : 2017,shoot-em-standards/assets/product_90.png,shoot-em-standards/assets/product_90_standard.png
Laundry Detergent Powder,IS 4955 : 2020,shoot-em-standards/assets/product_91.png,shoot-em-standards/assets/product_91_standard.png
Laundry Detergent Cake,IS 8180 : 2020,shoot-em-standards/assets/product_92.png,shoot-em-standards/assets/product_92_standard.png
Glycerine — Specification (Third Revision),IS 1796 : 2023,shoot-em-standards/assets/product_93.png,shoot-em-standards/assets/product_93_standard.png
Safety belt,IS 15140 : 2018,shoot-em-standards/assets/product_94.png,shoot-em-standards/assets/product_94_standard.png
Fog Lights,IS 5545 : 1977,shoot-em-standards/assets/product_95.png,shoot-em-standards/assets/product_95_standard.png
Rear View Mirrors,IS 14210 : 1994,shoot-em-standards/assets/product_96.png,shoot-em-standards/assets/product_96_standard.png
Shock Absorbers,IS 5423 : 1989,shoot-em-standards/assets/product_97.png,shoot-em-standards/assets/product_97_standard.png
Safety Glass (Windscreens),IS 2553 (Part 2) : 2019,shoot-em-standards/assets/product_98.png,shoot-em-standards/assets/product_98_standard.png
Warning Triangle,IS 17436 : 2020,shoot-em-standards/assets/product_99.png,shoot-em-standards/assets/product_99_standard.png
Horns,IS 1884 : 1993,shoot-em-standards/assets/product_100.png,shoot-em-standards/assets/product_100_standard.png
Retro reflective tapes (used in reflectors),IS 14221 (Part 1) : 2015,shoot-em-standards/assets/product_101.png,shoot-em-standards/assets/product_101_standard.png
Helmet,IS 4151 : 2015,shoot-em-standards/assets/product_102.png,shoot-em-standards/assets/product_102_standard.png
Road marking Paint,IS 164 : 2015,shoot-em-standards/assets/product_103.png,shoot-em-standards/assets/product_103_standard.png
Cricket Bat : For leather ball use,IS 828 (Part 1) : 1979,shoot-em-standards/assets/product_104.png,shoot-em-standards/assets/product_104_standard.png
Football,IS 417 (Part 1) : 2003,shoot-em-standards/assets/product_105.png,shoot-em-standards/assets/product_105_standard.png
Shuttlecock,IS 415 : 2002,shoot-em-standards/assets/product_106.png,shoot-em-standards/assets/product_106_standard.png
Volleyball,IS 417 (Part 2) : 1986,shoot-em-standards/assets/product_107.png,shoot-em-standards/assets/product_107_standard.png
Basketball,IS 417 (Part 3) : 1986,shoot-em-standards/assets/product_108.png,shoot-em-standards/assets/product_108_standard.png
Tennis Rackets,IS 17800 : 2022ISO 11416 :1995,shoot-em-standards/assets/product_109.png,shoot-em-standards/assets/product_109_standard.png
Ink for stamp-Pad,IS 393 : 1985,shoot-em-standards/assets/product_110.png,shoot-em-standards/assets/product_110_standard.png
Ball point pens,IS 3705 : 1980,shoot-em-standards/assets/product_111.png,shoot-em-standards/assets/product_111_standard.png
refill for ball point pen,IS 3707 : 1984,shoot-em-standards/assets/product_112.png,shoot-em-standards/assets/product_112_standard.png
Correcting Fluid (whiteners) bi-lingual,IS 4175 : 2018,shoot-em-standards/assets/product_113.png,shoot-em-standards/assets/product_113_standard.png
Pads for rubber stamps,IS 4747 : 1986,shoot-em-standards/assets/product_114.png,shoot-em-standards/assets/product_114_standard.png
Scissors for general purposes,IS 989 : 1982,shoot-em-standards/assets/product_115.png,shoot-em-standards/assets/product_115_standard.png
Staples,IS 5348 : 1981,shoot-em-standards/assets/product_116.png,shoot-em-standards/assets/product_116_standard.png
Paper Clips,IS 5650 : 1988,shoot-em-standards/assets/product_117.png,shoot-em-standards/assets/product_117_standard.png
Paper Pins,IS 5653 : 1988,shoot-em-standards/assets/product_118.png,shoot-em-standards/assets/product_118_standard.png
Writing/printing paper,IS 1848 : 2018,shoot-em-standards/assets/product_119.png,shoot-em-standards/assets/product_119_standard.png
Photocopy paper,IS 14490 : 2018,shoot-em-standards/assets/product_120.png,shoot-em-standards/assets/product_120_standard.png
Printing paper for computer printers,IS 12766 : 1997,shoot-em-standards/assets/product_121.png,shoot-em-standards/assets/product_121_standard.png
School chalks moulded white,IS 2694 : 2018,shoot-em-standards/assets/product_122.png,shoot-em-standards/assets/product_122_standard.png
